,RankingMSELoss,MSELoss,mean
2728,0.15295106917619705,0.1524067542382649,0.15267891170723097
2800,0.1529046818614006,0.15241722123963491,0.15266095155051776
2852,0.15131120277302607,0.15081035771540233,0.1510607802442142
2900,0.15066523849964142,0.15023260882922582,0.15044892366443363
2976,0.1487423511488097,0.14854027863059724,0.14864131488970347
3000,0.15062117470162256,0.1503399663737842,0.15048057053770336
3100,0.15028700232505798,0.15000247423137938,0.15014473827821867
3100,0.14990478647606714,0.14962029882839747,0.14976254265223232
3200,0.1486115881374904,0.14834556409290858,0.1484785761151995
3224,0.14882695568459375,0.1486632036311286,0.14874507965786116
3300,0.1492067990558488,0.14904276388032095,0.1491247814680849
3348,0.14911805944783346,0.14898008746760233,0.1490490734577179
3400,0.1492642888001033,0.14910779680524552,0.14918604280267442
3472,0.14888657416616166,0.1486950580562864,0.14879081611122402
3500,0.14928327607257025,0.14912213491541998,0.1492027054939951
3596,0.1487786184464182,0.14862689056566783,0.14870275450604303
3600,0.1485533778156553,0.14840146686349595,0.14847742233957562
3700,0.1489561508808817,0.14882685563394002,0.14889150325741085
3720,0.14888491587979452,0.14869543803589685,0.1487901769578457
3800,0.1486655037317957,0.14853835531643458,0.14860192952411516
3844,0.14892356097698212,0.14880500308104924,0.1488642820290157
3900,0.1498107495052474,0.1496850135070937,0.14974788150617055
3968,0.15044314307825907,0.15026395129305975,0.1503535471856594
4000,0.14818492638213293,0.1480186783841678,0.14810180238315035
4092,0.15000975131988525,0.14979850394385202,0.14990412763186864
4100,0.14930023465837752,0.14913805041994369,0.1492191425391606
4200,0.1506166575210435,0.15044311646904265,0.15052988699504308
4216,0.14925803669861384,0.1490819486124175,0.14916999265551567
4300,0.14968185871839523,0.14950472755091532,0.14959329313465528
4340,0.14979631453752518,0.14965588918754033,0.14972610186253277
4400,0.1502154203397887,0.15005552449396678,0.15013547241687775
4464,0.14998605315174376,0.14983013165848597,0.14990809240511488
4500,0.15245605685881206,0.1520339623093605,0.15224500958408627
4588,0.14885990108762467,0.14864517322608403,0.14875253715685435
4600,0.14966179430484772,0.14934043373380387,0.1495011140193258
4700,0.14876373963696615,0.14856868982315063,0.1486662147300584
4712,0.14893149265221187,0.1486585001860346,0.14879499641912325
4800,0.14874195733240672,0.14860065707138606,0.1486713072018964
4836,0.14797511483941758,0.14784604630299977,0.14791058057120868
