,RankingMSELoss,MSELoss,mean
6417,0.0015347311136257999,0.002557858989080962,0.002046295051353381
6510,0.0013608483268934138,0.002268052687320639,0.0018144505071070265
6603,0.001170769936459906,0.0019512547467670897,0.001561012341613498
6696,0.000995761386173613,0.00165957522660713,0.0013276683063903716
6720,0.0009708576424814322,0.0016180719522868887,0.0012944647973841604
6789,0.0008430737036499469,0.0014051089734386873,0.001124091338544317
6882,0.0007028369376819362,0.001171380973092335,0.0009371089553871356
6975,0.0005903529047774261,0.000983905910021242,0.000787129407399334
7040,0.0005168012062580708,0.0008613203570027562,0.0006890607816304135
7068,0.0004719262120916563,0.0007865275256335735,0.000629226868862615
7161,0.0003702497376841219,0.0006170667166931226,0.0004936582271886222
7254,0.0002775242507649476,0.000462527246460976,0.00037002574861296183
7347,0.0001985790184014203,0.0003309519970036276,0.00026476550770252393
7360,0.00019926859172033693,0.00033210128501249365,0.0002656849383664153
7440,0.0001425696271540159,0.0002376007939935388,0.00019008521057377735
7533,9.16986659028814e-05,0.00015281574708163082,0.0001222572064922561
7626,5.8739267200615035e-05,9.788170299383209e-05,7.831048509722357e-05
7680,4.857081351955832e-05,8.092781268608044e-05,6.474931310281937e-05
7719,4.4335927133729186e-05,7.386992119256105e-05,5.910292416314512e-05
7812,4.919173571739948e-05,8.196383008480017e-05,6.557778290109982e-05
7905,7.765836284413715e-05,0.00012940838753232076,0.00010353337518822895
7998,0.00012211827903657276,0.00020350370451684713,0.00016281099177670996
8000,0.00012117425691993798,0.00020193045544575025,0.0001615523561828441
8091,0.00019929248938912198,0.00033212481717140795,0.000265708653280265
8184,0.0003078126875848016,0.0005129924632937592,0.00041040257543928046
8277,0.00044939676744808606,0.0007489661699818337,0.0005991814687149599
8320,0.0005096596826607471,0.0008494050604948664,0.0006795323715778068
8370,0.0006374011692755363,0.001062307903981384,0.0008498545366284601
8463,0.0008134553585584988,0.001355732893845176,0.0010845941262018373
8556,0.0010862878783989478,0.0018104522776625613,0.0014483700780307546
8640,0.0013494527665898204,0.0022490619791342933,0.0017992573728620568
8649,0.0014058377812890446,0.0023430370424381074,0.0018744374118635759
8742,0.0017833619803080663,0.002972249612760018,0.002377805796534042
8835,0.0022123502841328874,0.0036872321849360187,0.002949791234534453
8928,0.002617022008909022,0.0043616872280836105,0.0034893546184963163
8960,0.0028031138182782077,0.004671841092845973,0.00373747745556209
9021,0.0031824444612378582,0.005304060602451072,0.0042432525318444655
9114,0.003815572407534894,0.006359270609476987,0.0050874215085059404
9207,0.004528591381933759,0.007547637584674007,0.006038114483303884
9280,0.005046973634949502,0.00841160781462403,0.006729290724786766
9300,0.00531350530903129,0.008855826714459588,0.007084666011745439
